text,true_label,true_label_name,predicted_label,predicted_label_name
How far is it from Denver to Aspen ?,5,NUM,0,ABBR
"What county is Modesto , California in ?",4,LOC,0,ABBR
Who was Galileo ?,3,HUM,0,ABBR
What is an atom ?,2,DESC,0,ABBR
When did Hawaii become a state ?,5,NUM,0,ABBR
How tall is the Sears Building ?,5,NUM,0,ABBR
George Bush purchased a small interest in which baseball team ?,3,HUM,0,ABBR
What is Australia 's national flower ?,1,ENTY,0,ABBR
Why does the moon turn orange ?,2,DESC,0,ABBR
What is autism ?,2,DESC,0,ABBR
What city had a world fair in 1900 ?,4,LOC,0,ABBR
What person 's head is on a dime ?,3,HUM,0,ABBR
What is the average weight of a Yellow Labrador ?,5,NUM,0,ABBR
Who was the first man to fly across the Pacific Ocean ?,3,HUM,0,ABBR
When did Idaho become a state ?,5,NUM,0,ABBR
What is the life expectancy for crickets ?,5,NUM,0,ABBR
What metal has the highest melting point ?,1,ENTY,0,ABBR
Who developed the vaccination against polio ?,3,HUM,0,ABBR
What is epilepsy ?,2,DESC,0,ABBR
What year did the Titanic sink ?,5,NUM,0,ABBR
Who was the first American to walk in space ?,3,HUM,0,ABBR
What is a biosphere ?,2,DESC,0,ABBR
What river in the US is known as the Big Muddy ?,4,LOC,0,ABBR
What is bipolar disorder ?,2,DESC,0,ABBR
What is cholesterol ?,2,DESC,0,ABBR
Who developed the Macintosh computer ?,3,HUM,0,ABBR
What is caffeine ?,2,DESC,0,ABBR
What imaginary line is halfway between the North and South Poles ?,4,LOC,0,ABBR
Where is John Wayne airport ?,4,LOC,0,ABBR
What hemisphere is the Philippines in ?,4,LOC,0,ABBR
What is the average speed of the horses at the Kentucky Derby ?,5,NUM,0,ABBR
Where are the Rocky Mountains ?,4,LOC,0,ABBR
What are invertebrates ?,2,DESC,0,ABBR
What is the temperature at the center of the earth ?,5,NUM,0,ABBR
When did John F. Kennedy get elected as President ?,5,NUM,0,ABBR
How old was Elvis Presley when he died ?,5,NUM,0,ABBR
Where is the Orinoco River ?,4,LOC,0,ABBR
How far is the service line from the net in tennis ?,5,NUM,0,ABBR
How much fiber should you have per day ?,5,NUM,0,ABBR
How many Great Lakes are there ?,5,NUM,0,ABBR
Material called linen is made from what plant ?,1,ENTY,0,ABBR
What is Teflon ?,2,DESC,0,ABBR
What is amitriptyline ?,2,DESC,0,ABBR
What is a shaman ?,2,DESC,0,ABBR
What is the proper name for a female walrus ?,1,ENTY,0,ABBR
What is a group of turkeys called ?,1,ENTY,0,ABBR
How long did Rip Van Winkle sleep ?,5,NUM,0,ABBR
What are triglycerides ?,2,DESC,0,ABBR
How many liters in a gallon ?,5,NUM,0,ABBR
What is the name of the chocolate company in San Francisco ?,3,HUM,0,ABBR
What are amphibians ?,2,DESC,0,ABBR
Who discovered x-rays ?,3,HUM,0,ABBR
Which comedian 's signature line is `` Can we talk '' ?,3,HUM,0,ABBR
What is fibromyalgia ?,2,DESC,0,ABBR
What is done with worn or outdated flags ?,2,DESC,0,ABBR
What does cc in engines mean ?,2,DESC,0,ABBR
When did Elvis Presley die ?,5,NUM,0,ABBR
What is the capital of Yugoslavia ?,4,LOC,0,ABBR
Where is Milan ?,4,LOC,0,ABBR
What is the speed hummingbirds fly ?,5,NUM,0,ABBR
What is the oldest city in the United States ?,4,LOC,0,ABBR
What was W.C. Fields ' real name ?,3,HUM,0,ABBR
"What river flows between Fargo , North Dakota and Moorhead , Minnesota ?",4,LOC,0,ABBR
What do bats eat ?,1,ENTY,0,ABBR
What state did the Battle of Bighorn take place in ?,4,LOC,0,ABBR
Who was Abraham Lincoln ?,3,HUM,0,ABBR
What do you call a newborn kangaroo ?,1,ENTY,0,ABBR
What are spider veins ?,2,DESC,0,ABBR
What day and month did John Lennon die ?,5,NUM,0,ABBR
What strait separates North America from Asia ?,4,LOC,0,ABBR
What is the population of Seattle ?,5,NUM,0,ABBR
How much was a ticket for the Titanic ?,5,NUM,0,ABBR
What is the largest city in the world ?,4,LOC,0,ABBR
What American composer wrote the music for `` West Side Story '' ?,3,HUM,0,ABBR
Where is the Mall of the America ?,4,LOC,0,ABBR
What is the pH scale ?,2,DESC,0,ABBR
What type of currency is used in Australia ?,1,ENTY,0,ABBR
"How tall is the Gateway Arch in St. Louis , MO ?",5,NUM,0,ABBR
How much does the human adult female brain weigh ?,5,NUM,0,ABBR
Who was the first governor of Alaska ?,3,HUM,0,ABBR
What is a prism ?,2,DESC,0,ABBR
When was the first liver transplant ?,5,NUM,0,ABBR
Who was elected president of South Africa in 1994 ?,3,HUM,0,ABBR
What is the population of China ?,5,NUM,0,ABBR
When was Rosa Parks born ?,5,NUM,0,ABBR
Why is a ladybug helpful ?,2,DESC,0,ABBR
What is amoxicillin ?,2,DESC,0,ABBR
Who was the first female United States Representative ?,3,HUM,0,ABBR
What are xerophytes ?,2,DESC,0,ABBR
What country did Ponce de Leon come from ?,4,LOC,0,ABBR
The U.S. Department of Treasury first issued paper currency for the U.S. during which war ?,1,ENTY,0,ABBR
What is desktop publishing ?,2,DESC,0,ABBR
What is the temperature of the sun 's surface ?,5,NUM,0,ABBR
What year did Canada join the United Nations ?,5,NUM,0,ABBR
What is the oldest university in the US ?,3,HUM,0,ABBR
Where is Prince Edward Island ?,4,LOC,0,ABBR
"Mercury , what year was it discovered ?",5,NUM,0,ABBR
What is cryogenics ?,2,DESC,0,ABBR
What are coral reefs ?,2,DESC,0,ABBR
What is the longest major league baseball-winning streak ?,1,ENTY,0,ABBR
What is neurology ?,2,DESC,0,ABBR
Who invented the calculator ?,3,HUM,0,ABBR
How do you measure earthquakes ?,2,DESC,0,ABBR
Who is Duke Ellington ?,3,HUM,0,ABBR
"What county is Phoenix , AZ in ?",4,LOC,0,ABBR
What is a micron ?,2,DESC,0,ABBR
"The sun 's core , what is the temperature ?",5,NUM,0,ABBR
What is the Ohio state bird ?,1,ENTY,0,ABBR
When were William Shakespeare 's twins born ?,5,NUM,0,ABBR
What is the highest dam in the U.S. ?,4,LOC,0,ABBR
What color is a poison arrow frog ?,1,ENTY,0,ABBR
What is acupuncture ?,2,DESC,0,ABBR
What is the length of the coastline of the state of Alaska ?,5,NUM,0,ABBR
What is the name of Neil Armstrong 's wife ?,3,HUM,0,ABBR
What is Hawaii 's state flower ?,1,ENTY,0,ABBR
Who won Ms. American in 1989 ?,3,HUM,0,ABBR
When did the Hindenberg crash ?,5,NUM,0,ABBR
What mineral helps prevent osteoporosis ?,1,ENTY,0,ABBR
What was the last year that the Chicago Cubs won the World Series ?,5,NUM,0,ABBR
Where is Perth ?,4,LOC,0,ABBR
What year did WWII begin ?,5,NUM,0,ABBR
What is the diameter of a golf ball ?,5,NUM,0,ABBR
What is an eclipse ?,2,DESC,0,ABBR
Who discovered America ?,3,HUM,0,ABBR
What is the earth 's diameter ?,5,NUM,0,ABBR
Which president was unmarried ?,3,HUM,0,ABBR
How wide is the Milky Way galaxy ?,5,NUM,0,ABBR
During which season do most thunderstorms occur ?,5,NUM,0,ABBR
What is Wimbledon ?,2,DESC,0,ABBR
What is the gestation period for a cat ?,5,NUM,0,ABBR
How far is a nautical mile ?,5,NUM,0,ABBR
Who was the abolitionist who led the raid on Harper 's Ferry in 1859 ?,3,HUM,0,ABBR
What does target heart rate mean ?,2,DESC,0,ABBR
What was the first satellite to go into space ?,1,ENTY,0,ABBR
What is foreclosure ?,2,DESC,0,ABBR
What is the major fault line near Kentucky ?,1,ENTY,0,ABBR
Where is the Holland Tunnel ?,4,LOC,0,ABBR
Who wrote the hymn `` Amazing Grace '' ?,3,HUM,0,ABBR
What position did Willie Davis play in baseball ?,3,HUM,0,ABBR
What are platelets ?,2,DESC,0,ABBR
What is severance pay ?,2,DESC,0,ABBR
What is the name of Roy Roger 's dog ?,1,ENTY,0,ABBR
Where are the National Archives ?,4,LOC,0,ABBR
What is a baby turkey called ?,1,ENTY,0,ABBR
What is poliomyelitis ?,2,DESC,0,ABBR
What is the longest bone in the human body ?,1,ENTY,0,ABBR
Who is a German philosopher ?,3,HUM,0,ABBR
What were Christopher Columbus ' three ships ?,1,ENTY,0,ABBR
What does Phi Beta Kappa mean ?,2,DESC,0,ABBR
What is nicotine ?,2,DESC,0,ABBR
What is another name for vitamin B1 ?,1,ENTY,0,ABBR
Who discovered radium ?,3,HUM,0,ABBR
What are sunspots ?,2,DESC,0,ABBR
When was Algeria colonized ?,5,NUM,0,ABBR
What baseball team was the first to make numbers part of their uniform ?,3,HUM,0,ABBR
What continent is Egypt on ?,4,LOC,0,ABBR
What is the capital of Mongolia ?,4,LOC,0,ABBR
What is nanotechnology ?,2,DESC,0,ABBR
In the late 1700 's British convicts were used to populate which colony ?,4,LOC,0,ABBR
What state is the geographic center of the lower 48 states ?,4,LOC,0,ABBR
What is an obtuse angle ?,2,DESC,0,ABBR
What are polymers ?,2,DESC,0,ABBR
When is hurricane season in the Caribbean ?,5,NUM,0,ABBR
Where is the volcano Mauna Loa ?,4,LOC,0,ABBR
What is another astronomic term for the Northern Lights ?,1,ENTY,0,ABBR
What peninsula is Spain part of ?,4,LOC,0,ABBR
When was Lyndon B. Johnson born ?,5,NUM,0,ABBR
What is acetaminophen ?,2,DESC,0,ABBR
What state has the least amount of rain per year ?,4,LOC,0,ABBR
Who founded American Red Cross ?,3,HUM,0,ABBR
What year did the Milwaukee Braves become the Atlanta Braves ?,5,NUM,0,ABBR
How fast is alcohol absorbed ?,5,NUM,0,ABBR
When is the summer solstice ?,5,NUM,0,ABBR
What is supernova ?,2,DESC,0,ABBR
Where is the Shawnee National Forest ?,4,LOC,0,ABBR
What U.S. state 's motto is `` Live free or Die '' ?,4,LOC,0,ABBR
Where is the Lourve ?,4,LOC,0,ABBR
When was the first stamp issued ?,5,NUM,0,ABBR
What primary colors do you mix to make orange ?,1,ENTY,0,ABBR
How far is Pluto from the sun ?,5,NUM,0,ABBR
What body of water are the Canary Islands in ?,4,LOC,0,ABBR
What is neuropathy ?,2,DESC,0,ABBR
Where is the Euphrates River ?,4,LOC,0,ABBR
What is cryptography ?,2,DESC,0,ABBR
What is natural gas composed of ?,1,ENTY,0,ABBR
Who is the Prime Minister of Canada ?,3,HUM,0,ABBR
What French ruler was defeated at the battle of Waterloo ?,3,HUM,0,ABBR
