text,true_label,true_label_name,predicted_label,predicted_label_name
How far is it from Denver to Aspen ?,5,NUM,5,NUM
"What county is Modesto , California in ?",4,LOC,4,LOC
Who was Galileo ?,3,HUM,3,HUM
What is an atom ?,2,DESC,2,DESC
When did Hawaii become a state ?,5,NUM,5,NUM
How tall is the Sears Building ?,5,NUM,5,NUM
George Bush purchased a small interest in which baseball team ?,3,HUM,3,HUM
What is Australia 's national flower ?,1,ENTY,1,ENTY
Why does the moon turn orange ?,2,DESC,2,DESC
What is autism ?,2,DESC,2,DESC
What city had a world fair in 1900 ?,4,LOC,4,LOC
What person 's head is on a dime ?,3,HUM,2,DESC
What is the average weight of a Yellow Labrador ?,5,NUM,5,NUM
Who was the first man to fly across the Pacific Ocean ?,3,HUM,3,HUM
When did Idaho become a state ?,5,NUM,5,NUM
What is the life expectancy for crickets ?,5,NUM,1,ENTY
What metal has the highest melting point ?,1,ENTY,1,ENTY
Who developed the vaccination against polio ?,3,HUM,3,HUM
What is epilepsy ?,2,DESC,2,DESC
What year did the Titanic sink ?,5,NUM,5,NUM
Who was the first American to walk in space ?,3,HUM,3,HUM
What is a biosphere ?,2,DESC,2,DESC
What river in the US is known as the Big Muddy ?,4,LOC,4,LOC
What is bipolar disorder ?,2,DESC,2,DESC
What is cholesterol ?,2,DESC,2,DESC
Who developed the Macintosh computer ?,3,HUM,3,HUM
What is caffeine ?,2,DESC,2,DESC
What imaginary line is halfway between the North and South Poles ?,4,LOC,1,ENTY
Where is John Wayne airport ?,4,LOC,4,LOC
What hemisphere is the Philippines in ?,4,LOC,4,LOC
What is the average speed of the horses at the Kentucky Derby ?,5,NUM,1,ENTY
Where are the Rocky Mountains ?,4,LOC,4,LOC
What are invertebrates ?,2,DESC,1,ENTY
What is the temperature at the center of the earth ?,5,NUM,2,DESC
When did John F. Kennedy get elected as President ?,5,NUM,5,NUM
How old was Elvis Presley when he died ?,5,NUM,5,NUM
Where is the Orinoco River ?,4,LOC,4,LOC
How far is the service line from the net in tennis ?,5,NUM,5,NUM
How much fiber should you have per day ?,5,NUM,5,NUM
How many Great Lakes are there ?,5,NUM,5,NUM
Material called linen is made from what plant ?,1,ENTY,1,ENTY
What is Teflon ?,2,DESC,2,DESC
What is amitriptyline ?,2,DESC,2,DESC
What is a shaman ?,2,DESC,2,DESC
What is the proper name for a female walrus ?,1,ENTY,1,ENTY
What is a group of turkeys called ?,1,ENTY,1,ENTY
How long did Rip Van Winkle sleep ?,5,NUM,5,NUM
What are triglycerides ?,2,DESC,1,ENTY
How many liters in a gallon ?,5,NUM,5,NUM
What is the name of the chocolate company in San Francisco ?,3,HUM,1,ENTY
What are amphibians ?,2,DESC,1,ENTY
Who discovered x-rays ?,3,HUM,3,HUM
Which comedian 's signature line is `` Can we talk '' ?,3,HUM,3,HUM
What is fibromyalgia ?,2,DESC,2,DESC
What is done with worn or outdated flags ?,2,DESC,1,ENTY
What does cc in engines mean ?,2,DESC,2,DESC
When did Elvis Presley die ?,5,NUM,5,NUM
What is the capital of Yugoslavia ?,4,LOC,4,LOC
Where is Milan ?,4,LOC,2,DESC
What is the speed hummingbirds fly ?,5,NUM,1,ENTY
What is the oldest city in the United States ?,4,LOC,4,LOC
What was W.C. Fields ' real name ?,3,HUM,3,HUM
"What river flows between Fargo , North Dakota and Moorhead , Minnesota ?",4,LOC,4,LOC
What do bats eat ?,1,ENTY,1,ENTY
What state did the Battle of Bighorn take place in ?,4,LOC,4,LOC
Who was Abraham Lincoln ?,3,HUM,3,HUM
What do you call a newborn kangaroo ?,1,ENTY,1,ENTY
What are spider veins ?,2,DESC,2,DESC
What day and month did John Lennon die ?,5,NUM,5,NUM
What strait separates North America from Asia ?,4,LOC,4,LOC
What is the population of Seattle ?,5,NUM,1,ENTY
How much was a ticket for the Titanic ?,5,NUM,5,NUM
What is the largest city in the world ?,4,LOC,4,LOC
What American composer wrote the music for `` West Side Story '' ?,3,HUM,3,HUM
Where is the Mall of the America ?,4,LOC,4,LOC
What is the pH scale ?,2,DESC,2,DESC
What type of currency is used in Australia ?,1,ENTY,1,ENTY
"How tall is the Gateway Arch in St. Louis , MO ?",5,NUM,5,NUM
How much does the human adult female brain weigh ?,5,NUM,5,NUM
Who was the first governor of Alaska ?,3,HUM,3,HUM
What is a prism ?,2,DESC,2,DESC
When was the first liver transplant ?,5,NUM,5,NUM
Who was elected president of South Africa in 1994 ?,3,HUM,3,HUM
What is the population of China ?,5,NUM,1,ENTY
When was Rosa Parks born ?,5,NUM,5,NUM
Why is a ladybug helpful ?,2,DESC,2,DESC
What is amoxicillin ?,2,DESC,2,DESC
Who was the first female United States Representative ?,3,HUM,3,HUM
What are xerophytes ?,2,DESC,1,ENTY
What country did Ponce de Leon come from ?,4,LOC,4,LOC
The U.S. Department of Treasury first issued paper currency for the U.S. during which war ?,1,ENTY,3,HUM
What is desktop publishing ?,2,DESC,2,DESC
What is the temperature of the sun 's surface ?,5,NUM,2,DESC
What year did Canada join the United Nations ?,5,NUM,5,NUM
What is the oldest university in the US ?,3,HUM,4,LOC
Where is Prince Edward Island ?,4,LOC,4,LOC
"Mercury , what year was it discovered ?",5,NUM,5,NUM
What is cryogenics ?,2,DESC,2,DESC
What are coral reefs ?,2,DESC,2,DESC
What is the longest major league baseball-winning streak ?,1,ENTY,1,ENTY
What is neurology ?,2,DESC,2,DESC
Who invented the calculator ?,3,HUM,3,HUM
How do you measure earthquakes ?,2,DESC,2,DESC
Who is Duke Ellington ?,3,HUM,3,HUM
"What county is Phoenix , AZ in ?",4,LOC,4,LOC
What is a micron ?,2,DESC,2,DESC
"The sun 's core , what is the temperature ?",5,NUM,2,DESC
What is the Ohio state bird ?,1,ENTY,1,ENTY
When were William Shakespeare 's twins born ?,5,NUM,5,NUM
What is the highest dam in the U.S. ?,4,LOC,4,LOC
What color is a poison arrow frog ?,1,ENTY,1,ENTY
What is acupuncture ?,2,DESC,2,DESC
What is the length of the coastline of the state of Alaska ?,5,NUM,4,LOC
What is the name of Neil Armstrong 's wife ?,3,HUM,1,ENTY
What is Hawaii 's state flower ?,1,ENTY,1,ENTY
Who won Ms. American in 1989 ?,3,HUM,3,HUM
When did the Hindenberg crash ?,5,NUM,5,NUM
What mineral helps prevent osteoporosis ?,1,ENTY,1,ENTY
What was the last year that the Chicago Cubs won the World Series ?,5,NUM,1,ENTY
Where is Perth ?,4,LOC,4,LOC
What year did WWII begin ?,5,NUM,5,NUM
What is the diameter of a golf ball ?,5,NUM,1,ENTY
What is an eclipse ?,2,DESC,2,DESC
Who discovered America ?,3,HUM,3,HUM
What is the earth 's diameter ?,5,NUM,2,DESC
Which president was unmarried ?,3,HUM,3,HUM
How wide is the Milky Way galaxy ?,5,NUM,5,NUM
During which season do most thunderstorms occur ?,5,NUM,5,NUM
What is Wimbledon ?,2,DESC,2,DESC
What is the gestation period for a cat ?,5,NUM,1,ENTY
How far is a nautical mile ?,5,NUM,5,NUM
Who was the abolitionist who led the raid on Harper 's Ferry in 1859 ?,3,HUM,3,HUM
What does target heart rate mean ?,2,DESC,2,DESC
What was the first satellite to go into space ?,1,ENTY,1,ENTY
What is foreclosure ?,2,DESC,2,DESC
What is the major fault line near Kentucky ?,1,ENTY,1,ENTY
Where is the Holland Tunnel ?,4,LOC,4,LOC
Who wrote the hymn `` Amazing Grace '' ?,3,HUM,3,HUM
What position did Willie Davis play in baseball ?,3,HUM,1,ENTY
What are platelets ?,2,DESC,2,DESC
What is severance pay ?,2,DESC,2,DESC
What is the name of Roy Roger 's dog ?,1,ENTY,1,ENTY
Where are the National Archives ?,4,LOC,4,LOC
What is a baby turkey called ?,1,ENTY,1,ENTY
What is poliomyelitis ?,2,DESC,2,DESC
What is the longest bone in the human body ?,1,ENTY,1,ENTY
Who is a German philosopher ?,3,HUM,3,HUM
What were Christopher Columbus ' three ships ?,1,ENTY,1,ENTY
What does Phi Beta Kappa mean ?,2,DESC,2,DESC
What is nicotine ?,2,DESC,2,DESC
What is another name for vitamin B1 ?,1,ENTY,1,ENTY
Who discovered radium ?,3,HUM,3,HUM
What are sunspots ?,2,DESC,2,DESC
When was Algeria colonized ?,5,NUM,5,NUM
What baseball team was the first to make numbers part of their uniform ?,3,HUM,3,HUM
What continent is Egypt on ?,4,LOC,4,LOC
What is the capital of Mongolia ?,4,LOC,4,LOC
What is nanotechnology ?,2,DESC,2,DESC
In the late 1700 's British convicts were used to populate which colony ?,4,LOC,4,LOC
What state is the geographic center of the lower 48 states ?,4,LOC,4,LOC
What is an obtuse angle ?,2,DESC,2,DESC
What are polymers ?,2,DESC,2,DESC
When is hurricane season in the Caribbean ?,5,NUM,5,NUM
Where is the volcano Mauna Loa ?,4,LOC,4,LOC
What is another astronomic term for the Northern Lights ?,1,ENTY,1,ENTY
What peninsula is Spain part of ?,4,LOC,4,LOC
When was Lyndon B. Johnson born ?,5,NUM,5,NUM
What is acetaminophen ?,2,DESC,2,DESC
What state has the least amount of rain per year ?,4,LOC,4,LOC
Who founded American Red Cross ?,3,HUM,3,HUM
What year did the Milwaukee Braves become the Atlanta Braves ?,5,NUM,5,NUM
How fast is alcohol absorbed ?,5,NUM,5,NUM
When is the summer solstice ?,5,NUM,5,NUM
What is supernova ?,2,DESC,2,DESC
Where is the Shawnee National Forest ?,4,LOC,4,LOC
What U.S. state 's motto is `` Live free or Die '' ?,4,LOC,3,HUM
Where is the Lourve ?,4,LOC,2,DESC
When was the first stamp issued ?,5,NUM,5,NUM
What primary colors do you mix to make orange ?,1,ENTY,1,ENTY
How far is Pluto from the sun ?,5,NUM,5,NUM
What body of water are the Canary Islands in ?,4,LOC,4,LOC
What is neuropathy ?,2,DESC,2,DESC
Where is the Euphrates River ?,4,LOC,4,LOC
What is cryptography ?,2,DESC,2,DESC
What is natural gas composed of ?,1,ENTY,1,ENTY
Who is the Prime Minister of Canada ?,3,HUM,3,HUM
What French ruler was defeated at the battle of Waterloo ?,3,HUM,3,HUM
What is leukemia ?,2,DESC,2,DESC
Where did Howard Hughes die ?,4,LOC,4,LOC
What is the birthstone for June ?,1,ENTY,1,ENTY
What is the sales tax in Minnesota ?,1,ENTY,1,ENTY
What is the distance in miles from the earth to the sun ?,5,NUM,5,NUM
What is the average life span for a chicken ?,5,NUM,5,NUM
When was the first Wal-Mart store opened ?,5,NUM,5,NUM
What is relative humidity ?,2,DESC,2,DESC
What city has the zip code of 35824 ?,4,LOC,4,LOC
What currency is used in Algeria ?,1,ENTY,1,ENTY
Who invented the hula hoop ?,3,HUM,3,HUM
What was the most popular toy in 1957 ?,1,ENTY,1,ENTY
What is pastrami made of ?,1,ENTY,1,ENTY
What is the name of the satellite that the Soviet Union sent into space in 1957 ?,1,ENTY,1,ENTY
What city 's newspaper is called `` The Enquirer '' ?,4,LOC,4,LOC
Who invented the slinky ?,3,HUM,3,HUM
What are the animals that don 't have backbones called ?,1,ENTY,1,ENTY
What is the melting point of copper ?,5,NUM,1,ENTY
Where is the volcano Olympus Mons located ?,4,LOC,4,LOC
Who was the 23rd president of the United States ?,3,HUM,3,HUM
What is the average body temperature ?,5,NUM,5,NUM
What does a defibrillator do ?,2,DESC,2,DESC
What is the effect of acid rain ?,2,DESC,2,DESC
What year did the United States abolish the draft ?,5,NUM,5,NUM
How fast is the speed of light ?,5,NUM,5,NUM
What province is Montreal in ?,4,LOC,4,LOC
What New York City structure is also known as the Twin Towers ?,4,LOC,4,LOC
What is fungus ?,2,DESC,2,DESC
What is the most frequently spoken language in the Netherlands ?,1,ENTY,1,ENTY
What is sodium chloride ?,2,DESC,2,DESC
What are the spots on dominoes called ?,1,ENTY,2,DESC
How many pounds in a ton ?,5,NUM,5,NUM
What is influenza ?,2,DESC,2,DESC
What is ozone depletion ?,2,DESC,2,DESC
What year was the Mona Lisa painted ?,5,NUM,5,NUM
What does `` Sitting Shiva '' mean ?,2,DESC,2,DESC
"What is the electrical output in Madrid , Spain ?",1,ENTY,1,ENTY
Which mountain range in North America stretches from Maine to Georgia ?,4,LOC,3,HUM
What is plastic made of ?,1,ENTY,1,ENTY
What is the population of Nigeria ?,5,NUM,1,ENTY
What does your spleen do ?,2,DESC,2,DESC
Where is the Grand Canyon ?,4,LOC,4,LOC
Who invented the telephone ?,3,HUM,3,HUM
What year did the U.S. buy Alaska ?,5,NUM,5,NUM
What is the name of the leader of Ireland ?,3,HUM,1,ENTY
What is phenylalanine ?,2,DESC,2,DESC
How many gallons of water are there in a cubic foot ?,5,NUM,5,NUM
What are the two houses of the Legislative branch ?,1,ENTY,1,ENTY
What is sonar ?,2,DESC,2,DESC
"In Poland , where do most people live ?",4,LOC,4,LOC
What is phosphorus ?,2,DESC,2,DESC
What is the location of the Sea of Tranquility ?,4,LOC,2,DESC
How fast is sound ?,5,NUM,2,DESC
What French province is cognac produced in ?,4,LOC,4,LOC
What is Valentine 's Day ?,2,DESC,2,DESC
What causes gray hair ?,2,DESC,2,DESC
What is hypertension ?,2,DESC,2,DESC
What is bandwidth ?,2,DESC,2,DESC
What is the longest suspension bridge in the U.S. ?,4,LOC,4,LOC
What is a parasite ?,2,DESC,2,DESC
What is home equity ?,2,DESC,2,DESC
What do meteorologists do ?,2,DESC,2,DESC
What is the criterion for being legally blind ?,1,ENTY,1,ENTY
Who is the tallest man in the world ?,3,HUM,3,HUM
What are the twin cities ?,4,LOC,4,LOC
What did Edward Binney and Howard Smith invent in 1903 ?,1,ENTY,1,ENTY
What is the statue of liberty made of ?,1,ENTY,1,ENTY
What is pilates ?,2,DESC,2,DESC
What planet is known as the `` red '' planet ?,4,LOC,4,LOC
What is the depth of the Nile river ?,5,NUM,2,DESC
What is the colorful Korean traditional dress called ?,1,ENTY,1,ENTY
What is Mardi Gras ?,2,DESC,2,DESC
Mexican pesos are worth what in U.S. dollars ?,5,NUM,5,NUM
Who was the first African American to play for the Brooklyn Dodgers ?,3,HUM,3,HUM
Who was the first Prime Minister of Canada ?,3,HUM,3,HUM
How many Admirals are there in the U.S. Navy ?,5,NUM,5,NUM
What instrument did Glenn Miller play ?,1,ENTY,1,ENTY
How old was Joan of Arc when she died ?,5,NUM,5,NUM
What does the word fortnight mean ?,2,DESC,2,DESC
What is dianetics ?,2,DESC,2,DESC
What is the capital of Ethiopia ?,4,LOC,4,LOC
For how long is an elephant pregnant ?,5,NUM,5,NUM
How did Janice Joplin die ?,2,DESC,2,DESC
What is the primary language in Iceland ?,1,ENTY,1,ENTY
What is the difference between AM radio stations and FM radio stations ?,2,DESC,1,ENTY
What is osteoporosis ?,2,DESC,2,DESC
Who was the first woman governor in the U.S. ?,3,HUM,3,HUM
What is peyote ?,2,DESC,2,DESC
What is the esophagus used for ?,2,DESC,1,ENTY
What is viscosity ?,2,DESC,2,DESC
What year did Oklahoma become a state ?,5,NUM,5,NUM
What is the abbreviation for Texas ?,0,ABBR,1,ENTY
What is a mirror made out of ?,1,ENTY,1,ENTY
Where on the body is a mortarboard worn ?,4,LOC,1,ENTY
What was J.F.K. 's wife 's name ?,3,HUM,3,HUM
What does I.V. stand for ?,0,ABBR,2,DESC
What is the chunnel ?,2,DESC,2,DESC
Where is Hitler buried ?,4,LOC,4,LOC
What are antacids ?,2,DESC,2,DESC
What is pulmonary fibrosis ?,2,DESC,2,DESC
What are Quaaludes ?,2,DESC,2,DESC
What is naproxen ?,2,DESC,2,DESC
What is strep throat ?,2,DESC,2,DESC
What is the largest city in the U.S. ?,4,LOC,4,LOC
What is foot and mouth disease ?,1,ENTY,2,DESC
What is the life expectancy of a dollar bill ?,5,NUM,1,ENTY
What do you call a professional map drawer ?,1,ENTY,1,ENTY
What are Aborigines ?,2,DESC,1,ENTY
What is hybridization ?,2,DESC,2,DESC
What color is indigo ?,1,ENTY,2,DESC
How old do you have to be in order to rent a car in Italy ?,5,NUM,5,NUM
What does a barometer measure ?,1,ENTY,2,DESC
What color is a giraffe 's tongue ?,1,ENTY,1,ENTY
What does USPS stand for ?,0,ABBR,1,ENTY
What year did the NFL go on strike ?,5,NUM,5,NUM
What is solar wind ?,2,DESC,2,DESC
What date did Neil Armstrong land on the moon ?,5,NUM,5,NUM
When was Hiroshima bombed ?,5,NUM,5,NUM
Where is the Savannah River ?,4,LOC,4,LOC
Who was the first woman killed in the Vietnam War ?,3,HUM,3,HUM
What planet has the strongest magnetic field of all the planets ?,4,LOC,4,LOC
Who is the governor of Alaska ?,3,HUM,3,HUM
What year did Mussolini seize power in Italy ?,5,NUM,5,NUM
What is the capital of Persia ?,4,LOC,4,LOC
Where is the Eiffel Tower ?,4,LOC,4,LOC
How many hearts does an octopus have ?,5,NUM,5,NUM
What is pneumonia ?,2,DESC,2,DESC
What is the deepest lake in the US ?,4,LOC,4,LOC
What is a fuel cell ?,2,DESC,2,DESC
Who was the first U.S. president to appear on TV ?,3,HUM,3,HUM
Where is the Little League Museum ?,4,LOC,4,LOC
What are the two types of twins ?,1,ENTY,1,ENTY
What is the brightest star ?,4,LOC,1,ENTY
What is diabetes ?,2,DESC,2,DESC
When was President Kennedy shot ?,5,NUM,5,NUM
What is TMJ ?,0,ABBR,2,DESC
What color is yak milk ?,1,ENTY,1,ENTY
What date was Dwight D. Eisenhower born ?,5,NUM,4,LOC
What does the technical term ISDN mean ?,0,ABBR,2,DESC
Why is the sun yellow ?,2,DESC,2,DESC
What is the conversion rate between dollars and pounds ?,5,NUM,5,NUM
When was Abraham Lincoln born ?,5,NUM,5,NUM
What is the Milky Way ?,2,DESC,2,DESC
What is mold ?,2,DESC,2,DESC
What year was Mozart born ?,5,NUM,5,NUM
What is a group of frogs called ?,1,ENTY,1,ENTY
What is the name of William Penn 's ship ?,1,ENTY,1,ENTY
What is the melting point of gold ?,5,NUM,2,DESC
What is the street address of the White House ?,4,LOC,1,ENTY
What is semolina ?,2,DESC,2,DESC
